Datetime (UTC),Temperature (deg C),Pressure (hPa)
20240212_014018,21.84,1018.01
20240212_014021,21.92,1010.56
20240212_014024,21.76,1003.22
20240212_014027,22.00,1003.68
20240212_014030,21.90,1007.03
20240212_014033,22.00,1000.37
20240212_014036,21.87,1011.36
20240212_014039,22.01,1009.00
20240212_014042,21.77,1008.50
20240212_014045,22.03,1006.87
20240212_014048,22.02,1005.30
20240212_014051,21.82,1016.39
20240212_014054,21.97,1015.59
20240212_014057,21.88,1015.25
20240212_014100,22.08,1004.85
20240212_014103,22.12,1003.98
20240212_014106,21.89,1006.15
20240212_014109,22.15,1003.04
20240212_014112,22.13,1008.83
20240212_014115,22.05,1003.51
20240212_014118,21.92,1019.76
20240212_014121,21.78,1000.32
20240212_014124,22.05,1003.21
20240212_014127,21.95,1006.44
20240212_014130,21.95,1010.71
20240212_014133,22.00,1004.19
20240212_014136,21.97,1002.44
20240212_014139,22.13,1010.59
20240212_014142,22.07,1016.37
20240212_014145,21.95,1012.23
20240212_014148,21.92,1010.98
20240212_014151,21.97,1010.19
20240212_014154,21.89,1013.06
20240212_014157,21.89,1000.92
20240212_014200,22.08,1007.52
20240212_014203,22.04,1012.57
20240212_014206,22.02,1005.13
20240212_014209,22.13,1003.87
20240212_014212,21.99,1014.83
20240212_014215,21.96,1001.53
20240212_014218,22.06,1018.11
20240212_014221,22.02,1009.15
20240212_014224,22.08,1011.65
20240212_014227,22.05,1010.18
20240212_014230,21.80,1013.00
20240212_014233,22.02,1018.50
20240212_014236,21.88,1013.47
20240212_014239,22.07,999.78
20240212_014242,21.91,1006.78
20240212_014245,22.08,1004.94
20240212_014248,22.06,1014.75
20240212_014251,22.07,1018.02
20240212_014254,21.95,1006.72
20240212_014257,22.02,1012.23
20240212_014300,22.06,1007.85
20240212_014303,22.10,1012.66
20240212_014306,22.02,1007.45
20240212_014309,22.10,1009.15
20240212_014312,22.02,1005.56
20240212_014315,22.14,1005.75
20240212_014318,22.10,999.30
20240212_014321,22.14,1009.44
20240212_014324,22.01,1014.44
20240212_014327,22.02,1020.52
20240212_014330,22.15,1010.62
20240212_014333,22.07,1011.44
20240212_014336,22.00,1004.35
